Id	X	Y	Z
380	744679.2000	9886013.1000	-23.7113
381	744705.2000	9886013.1000	-22.2358
382	744731.2000	9886013.1000	-21.5537
383	744757.2000	9886013.1000	-21.2062
384	744783.2000	9886013.1000	-20.9598
385	744809.2000	9886013.1000	-20.8949
386	744835.2000	9886013.1000	-20.3749
387	744861.2000	9886013.1000	-19.2068
388	744887.2000	9886013.1000	-18.7281
389	744913.2000	9886013.1000	-16.6011
390	744939.2000	9886013.1000	-15.0505
391	744965.2000	9886013.1000	-12.6882
392	744991.2000	9886013.1000	-12.2306
393	744003.2000	9885987.1000	-30.2703
394	744029.2000	9885987.1000	-29.9977
395	744055.2000	9885987.1000	-29.0470
396	744081.2000	9885987.1000	-29.0046
397	744107.2000	9885987.1000	-29.2339
398	744133.2000	9885987.1000	-29.6149
399	744159.2000	9885987.1000	-29.3554
400	744185.2000	9885987.1000	-29.4227
401	744211.2000	9885987.1000	-29.7497
402	744237.2000	9885987.1000	-29.6747
403	744263.2000	9885987.1000	-29.7191
404	744289.2000	9885987.1000	-29.7315
405	744315.2000	9885987.1000	-29.7477
406	744341.2000	9885987.1000	-29.4764
407	744367.2000	9885987.1000	-29.0823
408	744393.2000	9885987.1000	-29.1405
409	744419.2000	9885987.1000	-28.4056
410	744445.2000	9885987.1000	-28.0464
411	744471.2000	9885987.1000	-28.2387
412	744497.2000	9885987.1000	-27.3631
413	744523.2000	9885987.1000	-26.4701
414	744549.2000	9885987.1000	-25.8350
415	744575.2000	9885987.1000	-25.0934
416	744601.2000	9885987.1000	-25.1586
417	744627.2000	9885987.1000	-24.9562
418	744653.2000	9885987.1000	-23.6760
419	744679.2000	9885987.1000	-23.1686
420	744705.2000	9885987.1000	-22.5442
421	744731.2000	9885987.1000	-22.0319
422	744757.2000	9885987.1000	-22.1492
423	744783.2000	9885987.1000	-22.3343
424	744809.2000	9885987.1000	-21.6633
425	744835.2000	9885987.1000	-20.5321
426	744861.2000	9885987.1000	-19.1806
427	744887.2000	9885987.1000	-18.2827
428	744913.2000	9885987.1000	-14.7391
429	744939.2000	9885987.1000	-13.6460
430	744965.2000	9885987.1000	-11.4446
431	744991.2000	9885987.1000	-10.6970
432	745017.2000	9885987.1000	-10.5267
433	743977.2000	9885961.1000	-31.2944
434	744003.2000	9885961.1000	-30.9151
435	744029.2000	9885961.1000	-30.7762
436	744055.2000	9885961.1000	-28.8507
437	744081.2000	9885961.1000	-28.5234
438	744107.2000	9885961.1000	-28.3703
439	744133.2000	9885961.1000	-28.2957
440	744159.2000	9885961.1000	-28.5388
441	744185.2000	9885961.1000	-28.5938
442	744211.2000	9885961.1000	-28.9701
443	744237.2000	9885961.1000	-29.4871
444	744263.2000	9885961.1000	-29.6895
445	744289.2000	9885961.1000	-29.7675
446	744315.2000	9885961.1000	-29.8101
447	744341.2000	9885961.1000	-29.6536
448	744367.2000	9885961.1000	-29.4928
449	744393.2000	9885961.1000	-29.3646
450	744419.2000	9885961.1000	-28.9494
451	744445.2000	9885961.1000	-28.5897
452	744471.2000	9885961.1000	-28.6450
453	744497.2000	9885961.1000	-27.9919
454	744523.2000	9885961.1000	-27.4550
455	744549.2000	9885961.1000	-26.7108
456	744575.2000	9885961.1000	-26.3412
457	744601.2000	9885961.1000	-25.8089
458	744627.2000	9885961.1000	-25.2681
459	744653.2000	9885961.1000	-24.2883
460	744679.2000	9885961.1000	-23.6486
461	744705.2000	9885961.1000	-23.1919
462	744731.2000	9885961.1000	-22.5994
463	744757.2000	9885961.1000	-22.8175
464	744783.2000	9885961.1000	-23.0458
465	744809.2000	9885961.1000	-22.5397
466	744835.2000	9885961.1000	-21.2721
467	744861.2000	9885961.1000	-19.4133
468	744887.2000	9885961.1000	-17.6954
469	744913.2000	9885961.1000	-14.3034
470	744939.2000	9885961.1000	-13.1498
471	744965.2000	9885961.1000	-10.8499
472	744991.2000	9885961.1000	-9.9400
473	745017.2000	9885961.1000	-9.9970
474	745043.2000	9885961.1000	-11.3246
475	743925.2000	9885935.1000	-32.4498
476	743951.2000	9885935.1000	-32.4689
477	743977.2000	9885935.1000	-32.4715
478	744003.2000	9885935.1000	-31.8469
479	744029.2000	9885935.1000	-31.0219
480	744055.2000	9885935.1000	-30.1650
481	744081.2000	9885935.1000	-30.4958
482	744107.2000	9885935.1000	-28.5079
483	744133.2000	9885935.1000	-28.1267
484	744159.2000	9885935.1000	-28.2906
485	744185.2000	9885935.1000	-28.3125
486	744211.2000	9885935.1000	-28.9439
487	744237.2000	9885935.1000	-29.5251
488	744263.2000	9885935.1000	-29.8845
489	744289.2000	9885935.1000	-29.7206
490	744315.2000	9885935.1000	-29.6464
491	744341.2000	9885935.1000	-29.5520
492	744367.2000	9885935.1000	-29.4794
493	744393.2000	9885935.1000	-29.5196
494	744419.2000	9885935.1000	-29.2525
495	744445.2000	9885935.1000	-29.2602
496	744471.2000	9885935.1000	-30.0597
497	744497.2000	9885935.1000	-28.6657
498	744523.2000	9885935.1000	-27.6644
499	744549.2000	9885935.1000	-27.1711
500	744575.2000	9885935.1000	-26.9154
501	744601.2000	9885935.1000	-26.5298
502	744627.2000	9885935.1000	-25.4054
503	744653.2000	9885935.1000	-25.1926
504	744679.2000	9885935.1000	-25.4961
505	744705.2000	9885935.1000	-24.6457
506	744731.2000	9885935.1000	-24.3319
507	744757.2000	9885935.1000	-24.6702
508	744783.2000	9885935.1000	-25.0965
509	744809.2000	9885935.1000	-23.9853
510	744835.2000	9885935.1000	-21.5652
511	744861.2000	9885935.1000	-20.0954
512	744887.2000	9885935.1000	-17.8581
513	744913.2000	9885935.1000	-15.2502
514	744939.2000	9885935.1000	-13.5926
515	744965.2000	9885935.1000	-10.5312
516	744991.2000	9885935.1000	-8.3233
517	745017.2000	9885935.1000	-9.7714
518	745043.2000	9885935.1000	-11.4696
519	745069.2000	9885935.1000	-16.1791
520	743899.2000	9885909.1000	-31.3685
521	743925.2000	9885909.1000	-32.0686
522	743951.2000	9885909.1000	-32.7426
523	743977.2000	9885909.1000	-33.6453
524	744003.2000	9885909.1000	-33.1997
525	744029.2000	9885909.1000	-32.2833
526	744055.2000	9885909.1000	-31.7708
527	744081.2000	9885909.1000	-31.3122
528	744107.2000	9885909.1000	-29.5179
529	744133.2000	9885909.1000	-28.7897
530	744159.2000	9885909.1000	-28.5402
531	744185.2000	9885909.1000	-28.6784
532	744211.2000	9885909.1000	-29.2700
533	744237.2000	9885909.1000	-29.4240
534	744263.2000	9885909.1000	-29.6416
535	744289.2000	9885909.1000	-29.4760
536	744315.2000	9885909.1000	-29.3820
537	744341.2000	9885909.1000	-29.3693
538	744367.2000	9885909.1000	-29.4250
539	744393.2000	9885909.1000	-29.3866
540	744419.2000	9885909.1000	-29.3109
541	744445.2000	9885909.1000	-29.4187
542	744471.2000	9885909.1000	-29.9356
