No	Id	X	Y	Intensitas
568	568	744159.2460	9885889.3600	-9.9455
569	569	744185.2460	9885889.3600	-10.5442
570	570	744211.2460	9885889.3600	-9.9395
571	571	744237.2460	9885889.3600	-10.9439
572	572	744263.2460	9885889.3600	-11.2212
573	573	744289.2460	9885889.3600	-11.2347
574	574	744315.2460	9885889.3600	-11.8046
575	575	744341.2460	9885889.3600	-11.5221
576	576	744367.2460	9885889.3600	-12.8498
577	577	744393.2460	9885889.3600	-11.6091
578	578	744419.2460	9885889.3600	-11.9538
579	579	744445.2460	9885889.3600	-11.8547
580	580	744471.2460	9885889.3600	-12.2911
581	581	744497.2460	9885889.3600	-11.9538
582	582	744523.2460	9885889.3600	-11.4316
583	583	744549.2460	9885889.3600	-11.5052
584	584	744575.2460	9885889.3600	-11.2797
585	585	744601.2460	9885889.3600	-11.4372
586	586	744627.2460	9885889.3600	-11.5726
587	587	744653.2460	9885889.3600	-12.2852
588	588	744679.2460	9885889.3600	-12.2626
589	589	744705.2460	9885889.3600	-10.7658
590	590	744731.2460	9885889.3600	-10.2459
591	591	744757.2460	9885889.3600	-10.3064
592	592	744783.2460	9885889.3600	-10.7892
593	593	744809.2460	9885889.3600	-11.0056
594	594	744835.2460	9885889.3600	-10.4917
595	595	744861.2460	9885889.3600	-10.5179
596	596	744887.2460	9885889.3600	-11.1432
597	597	744913.2460	9885889.3600	-11.8981
598	598	744939.2460	9885889.3600	-11.8375
599	599	744965.2460	9885889.3600	-11.0538
600	600	744991.2460	9885889.3600	-11.8201
601	601	745017.2460	9885889.3600	-11.6611
602	602	745043.2460	9885889.3600	-10.7148
603	603	745069.2460	9885889.3600	-8.1565
604	604	745095.2460	9885889.3600	-10.5239
605	605	745121.2460	9885889.3600	-12.8027
