Id	X	Y	Rugositas
227	744861.10120	9886138.79960	1.00010
228	744887.10120	9886138.79960	1.00005
229	744913.10120	9886138.79960	1.00023
230	744939.10120	9886138.79960	1.00091
231	744185.10120	9886112.79960	1.00061
232	744211.10120	9886112.79960	1.00068
233	744237.10120	9886112.79960	1.00056
234	744263.10120	9886112.79960	1.00036
235	744289.10120	9886112.79960	1.00010
236	744315.10120	9886112.79960	1.00009
237	744341.10120	9886112.79960	1.00010
238	744367.10120	9886112.79960	1.00016
239	744393.10120	9886112.79960	1.00015
240	744419.10120	9886112.79960	1.00021
241	744445.10120	9886112.79960	1.00008
242	744471.10120	9886112.79960	1.00011
243	744497.10120	9886112.79960	1.00014
244	744523.10120	9886112.79960	1.00023
245	744549.10120	9886112.79960	1.00043
246	744575.10120	9886112.79960	1.00055
247	744601.10120	9886112.79960	1.00025
248	744627.10120	9886112.79960	1.00035
249	744653.10120	9886112.79960	1.00064
250	744679.10120	9886112.79960	1.00090
251	744705.10120	9886112.79960	1.00056
252	744731.10120	9886112.79960	1.00052
253	744757.10120	9886112.79960	1.00057
254	744783.10120	9886112.79960	1.00003
255	744809.10120	9886112.79960	1.00007
256	744835.10120	9886112.79960	1.00022
257	744861.10120	9886112.79960	1.00040
258	744887.10120	9886112.79960	1.00028
259	744913.10120	9886112.79960	1.00103
260	744939.10120	9886112.79960	1.00242
261	744159.10120	9886086.79960	1.00072
262	744185.10120	9886086.79960	1.00070
263	744211.10120	9886086.79960	1.00059
264	744237.10120	9886086.79960	1.00032
265	744263.10120	9886086.79960	1.00029
266	744289.10120	9886086.79960	1.00006
267	744315.10120	9886086.79960	1.00009
268	744341.10120	9886086.79960	1.00022
269	744367.10120	9886086.79960	1.00033
270	744393.10120	9886086.79960	1.00033
271	744419.10120	9886086.79960	1.00041
272	744445.10120	9886086.79960	1.00020
273	744471.10120	9886086.79960	1.00014
274	744497.10120	9886086.79960	1.00012
275	744523.10120	9886086.79960	1.00010
276	744549.10120	9886086.79960	1.00026
277	744575.10120	9886086.79960	1.00034
278	744601.10120	9886086.79960	1.00019
279	744627.10120	9886086.79960	1.00019
280	744653.10120	9886086.79960	1.00034
281	744679.10120	9886086.79960	1.00041
282	744705.10120	9886086.79960	1.00024
283	744731.10120	9886086.79960	1.00029
284	744757.10120	9886086.79960	1.00045
285	744783.10120	9886086.79960	1.00003
286	744809.10120	9886086.79960	1.00007
287	744835.10120	9886086.79960	1.00021
288	744861.10120	9886086.79960	1.00032
289	744887.10120	9886086.79960	1.00039
290	744913.10120	9886086.79960	1.00076
291	744939.10120	9886086.79960	1.00122
292	744965.10120	9886086.79960	1.00113
293	744159.10120	9886060.79960	1.00127
294	744185.10120	9886060.79960	1.00067
295	744211.10120	9886060.79960	1.00046
296	744237.10120	9886060.79960	1.00012
297	744263.10120	9886060.79960	1.00003
298	744289.10120	9886060.79960	1.00003
299	744315.10120	9886060.79960	1.00002
300	744341.10120	9886060.79960	1.00004
301	744367.10120	9886060.79960	1.00008
302	744393.10120	9886060.79960	1.00010
303	744419.10120	9886060.79960	1.00016
304	744445.10120	9886060.79960	1.00006
305	744471.10120	9886060.79960	1.00012
